ydstogo,yardline_100,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,off_epa_db,off_epa_rush,def_epa_db_allowed,def_epa_rush_allowed,posteam,defteam,qtr,season,fourth_down_converted
6,54,144,-13,1.0,0.0,0.0938823591637847,-0.15270732376403,-0.128978308664097,-0.094091408790375,LA,SF,4,2019,0
4,13,557,-13,3.0,2.0,0.114159952181904,0.0280903143674046,0.0394974279719467,-0.0585522047295942,TEN,DEN,4,2019,0
11,12,95,-16,0.0,1.0,0.114159952181904,0.0280903143674046,0.0394974279719467,-0.0585522047295942,TEN,DEN,4,2019,0
3,45,2860,0,3.0,3.0,-0.0420003856347691,-0.165772631114309,0.174341451523053,-0.0034058961918526,MIA,WAS,1,2019,1
2,39,2294,-7,3.0,1.0,-0.0420003856347691,-0.165772631114309,0.174341451523053,-0.0034058961918526,MIA,WAS,2,2019,1
3,35,3314,0,3.0,3.0,0.009720319301181,0.0099021128657974,0.192773613179718,-0.123283697826554,ARI,NYG,1,2019,1
6,39,1114,-10,3.0,3.0,-0.0741175548802771,-0.0591354146593853,0.227115338458957,-0.0979123850006832,NYG,ARI,3,2019,1
15,67,155,-3,2.0,2.0,-0.0741175548802771,-0.0591354146593853,0.227115338458957,-0.0979123850006832,NYG,ARI,4,2019,0
29,96,41,-6,0.0,1.0,-0.0741175548802771,-0.0591354146593853,0.227115338458957,-0.0979123850006832,NYG,ARI,4,2019,0
2,8,984,0,2.0,3.0,0.242103321654931,0.102375945646042,0.050436516288713,-0.0066489881886336,BAL,SEA,3,2019,1
1,55,2590,7,3.0,3.0,-0.0288947981622015,0.0422337878197937,0.134778699079921,-0.0179343873439959,IND,HOU,2,2019,0
1,65,896,-12,3.0,2.0,0.105725820520464,-0.0031638968198105,0.0906164969946541,-0.111636246476801,HOU,IND,4,2019,1
1,52,786,-12,3.0,2.0,0.105725820520464,-0.0031638968198105,0.0906164969946541,-0.111636246476801,HOU,IND,4,2019,0
9,95,164,-5,2.0,2.0,0.105725820520464,-0.0031638968198105,0.0906164969946541,-0.111636246476801,HOU,IND,4,2019,0
1,1,3342,0,3.0,3.0,-0.0420851417742706,-0.0744431314050357,0.208911413694967,-0.0006980135789059,JAX,CIN,1,2019,0
